ID;Sexe;Niveau;Filiere;Sport_trimestre;Precisez1;Etat;Sport_lycee;Ajout_ sport;Sport_etude;Sport_dehors;Foot;Basket;Volley;Boxe;Tennis_de_table;Autre1;Precisez2;Pourquoi;Lycee;Club;Chez_soi;Salle_sport;Exterieur;Interieur;Autre2;Precisez3;Nbre_heure;Competition
60;0;3;7;4;NA;3;6;Gymnastique;1;0;0;0;0;0;0;0;NA; Pas le temps, Concentration;1;0;0;0;0;0;0;NA;3;1
61;1;1;7;7;Vélo;3;2;Motocross;0;1;0;0;0;0;0;1;Motocross;Aime bien, Création de liens;1;0;0;0;1;0;0;NA;7;1
62;1;1;7;7;Ping-pong;3;6;Basket, Badminton;0;1;0;0;0;0;0;1;Badminton;Aime bien;1;1;0;0;0;0;0;NA;7;1
63;0;3;7;4;NA;3;8;Danse;0;1;0;0;0;0;0;1;Musculation, souplesse;Rester en forme, Aime bien, Progresser;1;0;0;1;0;0;0;NA;4;0
64;1;2;7;7;Ping-pong;3;5;NA;0;0;0;0;0;0;0;0;NA;Alternance, Pas le temps;1;0;0;0;0;0;0;NA;4;0
65;0;2;7;7;Musculation;2;7;Boxe;0;1;0;0;0;0;0;1;Danse;Aime bien;1;1;0;0;0;0;0;NA;2;1
66;1;3;7;7;Course d'orientation;1;9;Foot;0;1;1;0;0;0;0;0;NA;Aime bien, Sensations;1;0;0;0;1;0;0;NA;2;0
67;0;1;5;7;Danse;3;5;Escalade;0;0;0;0;0;0;0;0;NA;Déteste;1;0;0;0;0;0;0;NA;2;0
68;0;2;7;7;Musculation;3;6;Basket;0;1;0;0;0;0;0;1;Patinage artistique;Aime bien, Sensations;1;1;0;0;0;0;0;NA;2;1
69;1;3;7;7;Course d'orientation;3;7;Foot;0;0;0;0;0;0;0;0;NA;Pas le temps;1;0;0;0;0;0;0;NA;2;1
70;1;1;7;5;NA;3;8;Foot;0;1;1;1;0;0;0;0;NA;Aime bien;1;1;0;0;0;0;0;NA;4;0
71;1;2;7;5;NA;3;7;Boxe;0;1;0;0;0;1;0;1;Judo;Aime bien;1;1;0;0;0;0;0;NA;2;0
72;1;1;6;1;NA;4;8;NA;1;0;0;0;0;0;0;0;NA;Pas envie;1;0;0;0;0;0;0;NA;2;0
73;1;1;7;7;Ping-pong;3;5;Foot;1;1;1;0;0;0;0;0;NA;Aime bien, Habitude familiale;1;1;0;0;0;0;0;NA;7;1
74;1;2;7;4;NA;3;9;Boxe;0;1;0;0;0;0;0;1;Course,Musculation;Aime bien, Physique;1;0;0;1;0;0;0;NA;3;1
75;1;1;6;6;NA;3;5;Foot;1;0;0;0;0;0;0;0;NA;Flemme;1;0;0;0;0;0;0;NA;2;1
76;1;1;7;7;NA;4;6;Motocross;0;0;0;0;0;0;0;0;NA;Dispense maladie;0;0;0;0;0;0;0;NA;1;1
77;1;1;7;7;Ping-pong;3;7;Foot;1;1;1;0;0;0;0;0;NA;Aime bien;1;1;0;0;0;0;0;NA;3;1
78;0;3;7;4;NA;3;7;Baseball;0;1;0;0;0;0;0;1;Krav-maga;Aime bien, Défense;1;1;0;0;0;0;0;NA;2;1
79;1;3;7;5;NA;1;5;Foot;0;1;0;0;0;0;0;1;Course à pied;Détente;1;0;1;0;0;0;0;NA;7;1
80;0;2;7;5;NA;3;2;Equitation;0;0;0;0;0;0;0;0;NA;Déteste;0;0;0;0;0;0;0;NA;1;1
81;1;3;7;7;NA;3;5;NA;0;0;0;0;0;0;0;0;NA; Pas le temps;0;0;0;0;0;0;0;NA;1;0
82;1;3;7;1;NA;3;7;Foot;1;1;1;0;0;0;0;0;NA;Aime bien;1;1;0;0;0;0;0;NA;7;1
83;0;3;7;7;Course d'orientation;3;5;Twirling baton;1;1;0;0;0;0;0;1;Twirling baton;Aime bien;1;1;0;0;0;0;0;NA;5;1
84;0;3;7;2;NA;4;10;Gymnastique;0;1;0;1;0;0;0;0;NA;Aime bien;1;1;0;0;0;0;0;NA;3;0
85;1;3;7;7;Foot;2;9;Foot;1;1;1;0;0;0;0;0;NA;Aime bien;1;1;0;0;0;0;0;NA;7;1
86;0;1;7;7;Frisbee;3;8;NA;0;0;0;0;0;0;0;0;NA;Déteste;1;0;0;0;0;0;0;NA;1;1
87;1;1;7;7;Frisbee;3;8;Catch;0;0;0;0;0;0;0;0;NA;Dispense maladie;0;0;0;0;0;0;0;NA;1;1
88;0;1;7;7;NA;3;7;Equitation;0;0;0;0;0;0;0;0;NA;Déteste;1;0;0;0;0;0;0;NA;1;0
89;1;1;7;7;Musculation;3;7;Foot;1;1;0;0;0;0;0;1;Musculation;Aime bien;1;1;0;0;0;0;0;NA;2;0
90;1;3;7;3;NA;3;8;Boxe;0;0;0;0;0;0;0;0;NA;Pas le temps;1;0;0;0;0;0;0;NA;1;1
91;1;2;7;4;NA;3;8;NA;0;0;0;0;0;0;0;0;NA;Pas le temps;1;0;0;0;0;0;0;NA;1;0
92;0;3;7;7;NA;3;9;NA;0;0;0;0;0;0;0;0;NA;Dispense maladie;0;0;0;0;0;0;0;NA;1;1
93;1;2;7;6;NA;3;8;Natation;0;0;0;0;0;0;0;0;NA;Pas le temps;1;0;0;0;0;0;0;NA;1;1
94;0;1;7;7;Frisbee;3;7;NA;0;0;0;0;0;0;0;0;NA;Déteste;1;0;0;0;0;0;0;NA;1;0
95;1;1;7;7;Frisbee;3;7;NA;0;0;0;0;0;0;0;0;NA;Flemme;1;0;0;0;0;0;0;NA;1;0
96;0;1;7;7;Frisbee;3;7;Gymnastique;0;1;0;0;0;0;0;1;Danse;Aime bien;1;0;0;0;0;0;1;Association ;2;0
97;1;1;7;7;Musculation;3;7;Foot;1;1;1;0;0;0;0;1;Musculation;Aime bien;1;1;0;0;0;0;0;NA;3;1
98;1;3;2;5;NA;3;8;Foot;0;1;0;0;0;0;0;1;Musculation; Physique, Mental;1;0;1;0;0;0;0;NA;6;0
99;1;2;7;5;NA;3;8;NA;0;0;0;0;0;0;0;0;NA;Pas le temps;1;0;0;0;0;0;0;NA;1;0
100;1;3;7;7;Musculation;3;7;Equitation;0;1;0;1;0;0;1;0;NA;Aime bien;1;1;0;0;0;0;0;NA;7;1
